Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1976-05-03 00:00:00+00:00,2.5,2.02,NaN
1976-05-04 00:00:00+00:00,1.8,1.87,NaN
1976-05-05 00:00:00+00:00,1.6,1.82,NaN
1976-05-06 00:00:00+00:00,17.7,4.32,NaN
1976-05-07 00:00:00+00:00,17.5,4.3,NaN
1976-05-08 00:00:00+00:00,7.6,2.96,NaN
1976-05-09 00:00:00+00:00,4.8,2.46,NaN
1976-05-10 00:00:00+00:00,3.5,2.21,NaN
1976-05-11 00:00:00+00:00,3.0,2.11,NaN
1976-05-12 00:00:00+00:00,3.3,2.18,NaN
1976-05-13 00:00:00+00:00,2.6,2.03,NaN
1976-05-14 00:00:00+00:00,7.6,2.96,NaN
1976-05-15 00:00:00+00:00,4.7,2.45,NaN
1976-05-16 00:00:00+00:00,4.0,2.3,NaN
1976-05-17 00:00:00+00:00,3.1,2.13,NaN
1976-05-18 00:00:00+00:00,3.1,2.13,NaN
1976-05-19 00:00:00+00:00,3.3,2.16,NaN
1976-05-20 00:00:00+00:00,2.8,2.07,NaN
1976-05-21 00:00:00+00:00,2.6,2.03,NaN
1976-05-22 00:00:00+00:00,2.3,1.96,NaN
1976-05-23 00:00:00+00:00,2.5,2.01,NaN
1976-05-24 00:00:00+00:00,2.2,1.94,NaN
1976-05-25 00:00:00+00:00,1.9,1.88,NaN
1976-05-26 00:00:00+00:00,1.9,1.85,NaN
1976-05-27 00:00:00+00:00,1.7,1.82,NaN
1976-05-28 00:00:00+00:00,1.7,1.8,NaN
1976-05-29 00:00:00+00:00,1.6,1.79,NaN
1976-05-30 00:00:00+00:00,1.6,1.79,NaN
1976-05-31 00:00:00+00:00,1.5,1.77,NaN
1976-06-01 00:00:00+00:00,1.5,1.77,NaN
1976-06-02 00:00:00+00:00,1.6,1.78,NaN
1976-06-03 00:00:00+00:00,1.5,1.76,NaN
1976-06-04 00:00:00+00:00,1.7,1.82,NaN
1976-06-05 00:00:00+00:00,1.8,1.83,NaN
1976-06-06 00:00:00+00:00,1.5,1.76,NaN
1976-06-07 00:00:00+00:00,1.4,1.74,NaN
1976-06-08 00:00:00+00:00,1.3,1.7,NaN
1976-06-09 00:00:00+00:00,1.2,1.68,NaN
1976-06-10 00:00:00+00:00,1.1,1.67,NaN
1976-06-11 00:00:00+00:00,1.1,1.66,NaN
1976-06-12 00:00:00+00:00,1.1,1.66,NaN
1976-06-13 00:00:00+00:00,1.0,1.64,NaN
1976-06-14 00:00:00+00:00,1.0,1.63,NaN
1976-06-15 00:00:00+00:00,1.6,1.62,NaN
1976-06-16 00:00:00+00:00,1.5,1.61,NaN
1976-06-17 00:00:00+00:00,1.4,1.61,NaN
1976-06-18 00:00:00+00:00,1.3,1.6,NaN
1976-06-19 00:00:00+00:00,1.4,1.59,NaN
1976-06-20 00:00:00+00:00,1.3,1.62,NaN
1976-06-21 00:00:00+00:00,1.1,1.65,NaN
1976-06-22 00:00:00+00:00,1.2,1.62,NaN
1976-06-23 00:00:00+00:00,1.2,1.6,NaN
