Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,3.1,1.12,NaN
1989-01-02 00:00:00+00:00,2.8,1.09,NaN
1989-01-03 00:00:00+00:00,2.9,1.1,NaN
1989-01-04 00:00:00+00:00,2.8,1.09,NaN
1989-01-05 00:00:00+00:00,2.7,1.08,NaN
1989-01-06 00:00:00+00:00,2.7,1.08,NaN
1989-01-07 00:00:00+00:00,2.9,1.1,NaN
1989-01-08 00:00:00+00:00,2.8,1.09,NaN
1989-01-09 00:00:00+00:00,2.8,1.09,NaN
1989-01-10 00:00:00+00:00,2.7,1.08,NaN
1989-01-11 00:00:00+00:00,3.0,1.09,NaN
1989-01-12 00:00:00+00:00,2.8,1.07,NaN
1989-01-13 00:00:00+00:00,2.7,1.06,NaN
1989-01-14 00:00:00+00:00,2.6,1.05,NaN
1989-01-15 00:00:00+00:00,2.6,1.05,NaN
1989-01-16 00:00:00+00:00,2.5,1.04,NaN
1989-01-17 00:00:00+00:00,2.4,1.02,NaN
1989-01-18 00:00:00+00:00,2.3,1.01,NaN
1989-01-19 00:00:00+00:00,2.2,1.0,NaN
1989-01-20 00:00:00+00:00,2.2,0.99,NaN
1989-01-21 00:00:00+00:00,2.0,0.92,NaN
1989-01-22 00:00:00+00:00,1.9,0.91,NaN
1989-01-23 00:00:00+00:00,1.9,0.91,NaN
1989-01-24 00:00:00+00:00,1.9,0.91,NaN
1989-01-25 00:00:00+00:00,1.8,0.9,NaN
1989-01-26 00:00:00+00:00,1.8,0.89,NaN
1989-01-27 00:00:00+00:00,1.7,0.88,NaN
1989-01-28 00:00:00+00:00,1.7,0.88,NaN
1989-01-29 00:00:00+00:00,1.6,0.87,NaN
1989-01-30 00:00:00+00:00,1.7,0.88,NaN
1989-01-31 00:00:00+00:00,1.6,0.87,NaN
1989-02-01 00:00:00+00:00,1.9,0.91,NaN
1989-02-02 00:00:00+00:00,1.6,0.86,NaN
1989-02-03 00:00:00+00:00,1.5,0.85,NaN
1989-02-04 00:00:00+00:00,1.8,0.89,NaN
1989-02-05 00:00:00+00:00,1.7,0.88,NaN
1989-02-06 00:00:00+00:00,1.7,0.88,NaN
1989-02-07 00:00:00+00:00,1.6,0.86,NaN
1989-02-08 00:00:00+00:00,1.7,0.88,NaN
1989-02-09 00:00:00+00:00,1.6,0.86,NaN
1989-02-10 00:00:00+00:00,1.6,0.86,NaN
1989-02-11 00:00:00+00:00,1.5,0.85,NaN
1989-02-12 00:00:00+00:00,1.5,0.85,NaN
1989-02-13 00:00:00+00:00,1.6,0.86,NaN
1989-02-14 00:00:00+00:00,1.5,0.85,NaN
1989-02-15 00:00:00+00:00,1.6,0.86,NaN
1989-02-16 00:00:00+00:00,1.6,0.86,NaN
1989-02-17 00:00:00+00:00,1.4,0.84,NaN
