Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,9.9,1.5,NaN
1989-01-02 00:00:00+00:00,9.6,1.48,NaN
1989-01-03 00:00:00+00:00,9.2,1.46,NaN
1989-01-04 00:00:00+00:00,8.9,1.44,NaN
1989-01-05 00:00:00+00:00,11.0,1.56,NaN
1989-01-06 00:00:00+00:00,11.5,1.59,NaN
1989-01-07 00:00:00+00:00,10.4,1.53,NaN
1989-01-08 00:00:00+00:00,9.7,1.49,NaN
1989-01-09 00:00:00+00:00,9.2,1.46,NaN
1989-01-10 00:00:00+00:00,9.4,1.47,NaN
1989-01-11 00:00:00+00:00,8.7,1.43,NaN
1989-01-12 00:00:00+00:00,7.3,1.34,NaN
1989-01-13 00:00:00+00:00,7.2,1.33,NaN
1989-01-14 00:00:00+00:00,7.0,1.32,NaN
1989-01-15 00:00:00+00:00,7.2,1.33,NaN
1989-01-16 00:00:00+00:00,7.5,1.35,NaN
1989-01-17 00:00:00+00:00,7.0,1.32,NaN
1989-01-18 00:00:00+00:00,6.5,1.28,NaN
1989-01-19 00:00:00+00:00,5.4,1.2,NaN
1989-01-20 00:00:00+00:00,5.5,1.21,NaN
1989-01-21 00:00:00+00:00,5.5,1.21,NaN
1989-01-22 00:00:00+00:00,5.7,1.22,NaN
1989-01-23 00:00:00+00:00,5.4,1.2,NaN
1989-01-24 00:00:00+00:00,5.5,1.21,NaN
1989-01-25 00:00:00+00:00,5.9,1.24,NaN
1989-01-26 00:00:00+00:00,6.7,1.3,NaN
1989-01-27 00:00:00+00:00,6.9,1.31,NaN
1989-01-28 00:00:00+00:00,6.2,1.26,NaN
1989-01-29 00:00:00+00:00,5.9,1.24,NaN
1989-01-30 00:00:00+00:00,5.3,1.19,NaN
1989-01-31 00:00:00+00:00,5.1,1.17,NaN
1989-02-01 00:00:00+00:00,4.9,1.16,NaN
1989-02-02 00:00:00+00:00,4.6,1.13,NaN
1989-02-03 00:00:00+00:00,4.4,1.11,NaN
1989-02-04 00:00:00+00:00,4.1,1.09,NaN
1989-02-05 00:00:00+00:00,4.1,1.09,NaN
1989-02-06 00:00:00+00:00,4.2,1.1,NaN
1989-02-07 00:00:00+00:00,3.8,1.06,NaN
1989-02-08 00:00:00+00:00,3.9,1.07,NaN
1989-02-09 00:00:00+00:00,4.0,1.08,NaN
1989-02-10 00:00:00+00:00,4.0,1.08,NaN
1989-02-11 00:00:00+00:00,3.8,1.06,NaN
