Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,56.3,4.32,NaN
1989-01-02 00:00:00+00:00,73.0,4.44,NaN
1989-01-03 00:00:00+00:00,77.0,4.47,NaN
1989-01-04 00:00:00+00:00,70.0,4.42,NaN
1989-01-05 00:00:00+00:00,73.0,4.44,NaN
1989-01-06 00:00:00+00:00,67.0,4.4,NaN
1989-01-07 00:00:00+00:00,64.3,4.38,NaN
1989-01-08 00:00:00+00:00,62.0,4.36,NaN
1989-01-09 00:00:00+00:00,60.3,4.35,NaN
1989-01-10 00:00:00+00:00,59.0,4.34,NaN
1989-01-11 00:00:00+00:00,58.0,4.33,NaN
1989-01-12 00:00:00+00:00,58.0,4.33,NaN
1989-01-13 00:00:00+00:00,60.3,4.35,NaN
1989-01-14 00:00:00+00:00,60.3,4.35,NaN
1989-01-15 00:00:00+00:00,59.0,4.34,NaN
1989-01-16 00:00:00+00:00,56.3,4.32,NaN
1989-01-17 00:00:00+00:00,59.0,4.34,NaN
1989-01-18 00:00:00+00:00,63.0,4.37,NaN
1989-01-19 00:00:00+00:00,62.0,4.36,NaN
1989-01-20 00:00:00+00:00,56.3,4.32,NaN
1989-01-21 00:00:00+00:00,56.3,4.32,NaN
1989-01-22 00:00:00+00:00,55.0,4.31,NaN
1989-01-23 00:00:00+00:00,54.0,4.3,NaN
1989-01-24 00:00:00+00:00,54.0,4.3,NaN
1989-01-25 00:00:00+00:00,54.0,4.3,NaN
1989-01-26 00:00:00+00:00,52.4,4.29,NaN
1989-01-27 00:00:00+00:00,51.1,4.28,NaN
1989-01-28 00:00:00+00:00,51.1,4.28,NaN
1989-01-29 00:00:00+00:00,50.0,4.27,NaN
1989-01-30 00:00:00+00:00,51.1,4.28,NaN
1989-01-31 00:00:00+00:00,52.4,4.29,NaN
1989-02-01 00:00:00+00:00,51.1,4.28,NaN
1989-02-02 00:00:00+00:00,49.0,4.26,NaN
1989-02-03 00:00:00+00:00,49.0,4.26,NaN
1989-02-04 00:00:00+00:00,47.2,4.25,NaN
1989-02-05 00:00:00+00:00,46.0,4.24,NaN
1989-02-06 00:00:00+00:00,46.0,4.24,NaN
1989-02-07 00:00:00+00:00,46.0,4.24,NaN
1989-02-08 00:00:00+00:00,45.0,4.23,NaN
1989-02-09 00:00:00+00:00,43.4,4.22,NaN
1989-02-10 00:00:00+00:00,43.4,4.22,NaN
1989-02-11 00:00:00+00:00,43.4,4.22,NaN
1989-02-12 00:00:00+00:00,43.4,4.22,NaN
1989-02-13 00:00:00+00:00,43.4,4.22,NaN
1989-02-14 00:00:00+00:00,43.4,4.22,NaN
1989-02-15 00:00:00+00:00,42.1,4.21,NaN
1989-02-16 00:00:00+00:00,41.0,4.2,NaN
1989-02-17 00:00:00+00:00,41.0,4.2,NaN
1989-02-18 00:00:00+00:00,41.0,4.2,NaN
1989-02-19 00:00:00+00:00,40.0,4.19,NaN
1989-02-20 00:00:00+00:00,38.4,4.18,NaN
1989-02-21 00:00:00+00:00,37.2,4.17,NaN
1989-02-22 00:00:00+00:00,37.2,4.17,NaN
1989-02-23 00:00:00+00:00,37.2,4.17,NaN
