Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,236.0,3.49,NaN
1989-01-02 00:00:00+00:00,236.0,3.49,NaN
1989-01-03 00:00:00+00:00,234.0,3.48,NaN
1989-01-04 00:00:00+00:00,234.0,3.48,NaN
1989-01-05 00:00:00+00:00,233.0,3.47,NaN
1989-01-06 00:00:00+00:00,229.0,3.45,NaN
1989-01-07 00:00:00+00:00,224.0,3.42,NaN
1989-01-08 00:00:00+00:00,224.0,3.42,NaN
1989-01-09 00:00:00+00:00,213.0,3.36,NaN
1989-01-10 00:00:00+00:00,213.0,3.36,NaN
1989-01-11 00:00:00+00:00,213.0,3.36,NaN
1989-01-12 00:00:00+00:00,212.0,3.35,NaN
1989-01-13 00:00:00+00:00,212.0,3.35,NaN
1989-01-14 00:00:00+00:00,208.0,3.33,NaN
1989-01-15 00:00:00+00:00,208.0,3.33,NaN
1989-01-16 00:00:00+00:00,208.0,3.33,NaN
1989-01-17 00:00:00+00:00,206.0,3.32,NaN
1989-01-18 00:00:00+00:00,206.0,3.32,NaN
1989-01-19 00:00:00+00:00,206.0,3.32,NaN
1989-01-20 00:00:00+00:00,205.0,3.31,NaN
1989-01-21 00:00:00+00:00,205.0,3.31,NaN
1989-01-22 00:00:00+00:00,205.0,3.31,NaN
1989-01-23 00:00:00+00:00,203.0,3.3,NaN
1989-01-24 00:00:00+00:00,212.0,3.35,NaN
1989-01-25 00:00:00+00:00,217.0,3.38,NaN
1989-01-26 00:00:00+00:00,217.0,3.38,NaN
1989-01-27 00:00:00+00:00,205.0,3.31,NaN
1989-01-28 00:00:00+00:00,205.0,3.31,NaN
1989-01-29 00:00:00+00:00,201.0,3.29,NaN
1989-01-30 00:00:00+00:00,200.0,3.28,NaN
1989-01-31 00:00:00+00:00,200.0,3.28,NaN
1989-02-01 00:00:00+00:00,200.0,3.28,NaN
1989-02-02 00:00:00+00:00,200.0,3.28,NaN
1989-02-03 00:00:00+00:00,198.0,3.27,NaN
1989-02-04 00:00:00+00:00,198.0,3.27,NaN
1989-02-05 00:00:00+00:00,198.0,3.27,NaN
1989-02-06 00:00:00+00:00,198.0,3.27,NaN
1989-02-07 00:00:00+00:00,195.0,3.25,NaN
1989-02-08 00:00:00+00:00,195.0,3.25,NaN
1989-02-09 00:00:00+00:00,195.0,3.25,NaN
1989-02-10 00:00:00+00:00,193.0,3.24,NaN
1989-02-11 00:00:00+00:00,193.0,3.24,NaN
1989-02-12 00:00:00+00:00,193.0,3.24,NaN
1989-02-13 00:00:00+00:00,193.0,3.24,NaN
1989-02-14 00:00:00+00:00,208.0,3.33,NaN
1989-02-15 00:00:00+00:00,220.0,3.4,NaN
1989-02-16 00:00:00+00:00,217.0,3.38,NaN
1989-02-17 00:00:00+00:00,215.0,3.37,NaN
1989-02-18 00:00:00+00:00,215.0,3.37,NaN
1989-02-19 00:00:00+00:00,212.0,3.35,NaN
1989-02-20 00:00:00+00:00,206.0,3.32,NaN
1989-02-21 00:00:00+00:00,197.0,3.26,NaN
1989-02-22 00:00:00+00:00,195.0,3.25,NaN
1989-02-23 00:00:00+00:00,193.0,3.24,NaN
1989-02-24 00:00:00+00:00,193.0,3.24,NaN
1989-02-25 00:00:00+00:00,193.0,3.24,NaN
1989-02-26 00:00:00+00:00,193.0,3.24,NaN
1989-02-27 00:00:00+00:00,190.0,3.22,NaN
1989-02-28 00:00:00+00:00,190.0,3.22,NaN
1989-03-01 00:00:00+00:00,186.0,3.19,NaN
1989-03-02 00:00:00+00:00,184.0,3.18,NaN
1989-03-03 00:00:00+00:00,184.0,3.18,NaN
1989-03-04 00:00:00+00:00,184.0,3.18,NaN
1989-03-05 00:00:00+00:00,186.0,3.19,NaN
1989-03-06 00:00:00+00:00,186.0,3.19,NaN
1989-03-07 00:00:00+00:00,186.0,3.19,NaN
1989-03-08 00:00:00+00:00,186.0,3.19,NaN
1989-03-09 00:00:00+00:00,186.0,3.19,NaN
1989-03-10 00:00:00+00:00,187.0,3.2,NaN
1989-03-11 00:00:00+00:00,187.0,3.2,NaN
