Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1970-01-01 00:00:00+00:00,1540.0,4.25,0.0
1970-01-02 00:00:00+00:00,1520.0,4.22,0.0
1970-01-03 00:00:00+00:00,1510.0,4.2,0.0
1970-01-04 00:00:00+00:00,1490.0,4.17,0.0
1970-01-05 00:00:00+00:00,1470.0,4.13,0.0
1970-01-06 00:00:00+00:00,1440.0,4.09,0.0
1970-01-07 00:00:00+00:00,1430.0,4.06,0.0
1970-01-08 00:00:00+00:00,1410.0,4.04,0.0
1970-01-09 00:00:00+00:00,1390.0,4.0,0.0
1970-01-10 00:00:00+00:00,1380.0,3.98,0.0
1970-01-11 00:00:00+00:00,1370.0,3.97,6.9
1970-01-12 00:00:00+00:00,1370.0,3.96,7.0
1970-01-13 00:00:00+00:00,1350.0,3.94,0.0
1970-01-14 00:00:00+00:00,1340.0,3.92,0.0
1970-01-15 00:00:00+00:00,1330.0,3.9,0.0
1970-01-16 00:00:00+00:00,1320.0,3.88,0.0
1970-01-17 00:00:00+00:00,1310.0,3.86,0.0
1970-01-18 00:00:00+00:00,1290.0,3.84,0.0
1970-01-19 00:00:00+00:00,1260.0,3.79,0.0
1970-01-20 00:00:00+00:00,1250.0,3.76,0.0
1970-01-21 00:00:00+00:00,1230.0,3.74,0.0
1970-01-22 00:00:00+00:00,1230.0,3.73,0.0
1970-01-23 00:00:00+00:00,1210.0,3.7,0.0
1970-01-24 00:00:00+00:00,1190.0,3.66,0.0
1970-01-25 00:00:00+00:00,1170.0,3.63,0.0
1970-01-26 00:00:00+00:00,1160.0,3.61,0.0
1970-01-27 00:00:00+00:00,1150.0,3.61,0.0
1970-01-28 00:00:00+00:00,1170.0,3.63,0.0
1970-01-29 00:00:00+00:00,1180.0,3.65,0.0
1970-01-30 00:00:00+00:00,1160.0,3.63,0.0
1970-01-31 00:00:00+00:00,1120.0,3.55,0.0
1970-02-01 00:00:00+00:00,1090.0,3.5,0.0
1970-02-02 00:00:00+00:00,1070.0,3.46,0.0
1970-02-03 00:00:00+00:00,1060.0,3.44,0.0
