Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,53.0,1.37,NaN
1989-01-02 00:00:00+00:00,52.0,1.36,NaN
1989-01-03 00:00:00+00:00,53.0,1.37,NaN
1989-01-04 00:00:00+00:00,59.1,1.43,NaN
1989-01-05 00:00:00+00:00,63.4,1.47,NaN
1989-01-06 00:00:00+00:00,72.0,1.54,NaN
1989-01-07 00:00:00+00:00,68.0,1.51,NaN
1989-01-08 00:00:00+00:00,63.4,1.47,NaN
1989-01-09 00:00:00+00:00,60.2,1.44,NaN
1989-01-10 00:00:00+00:00,56.0,1.4,NaN
1989-01-11 00:00:00+00:00,53.0,1.37,NaN
1989-01-12 00:00:00+00:00,50.0,1.34,NaN
1989-01-13 00:00:00+00:00,47.0,1.31,NaN
1989-01-14 00:00:00+00:00,43.3,1.27,NaN
1989-01-15 00:00:00+00:00,40.0,1.23,NaN
1989-01-16 00:00:00+00:00,37.1,1.2,NaN
1989-01-17 00:00:00+00:00,32.1,1.13,NaN
1989-01-18 00:00:00+00:00,34.3,1.16,NaN
1989-01-19 00:00:00+00:00,34.3,1.16,NaN
1989-01-20 00:00:00+00:00,34.3,1.16,NaN
1989-01-21 00:00:00+00:00,35.0,1.17,NaN
1989-01-22 00:00:00+00:00,35.0,1.17,NaN
1989-01-23 00:00:00+00:00,35.0,1.17,NaN
1989-01-24 00:00:00+00:00,35.0,1.17,NaN
1989-01-25 00:00:00+00:00,35.0,1.17,NaN
1989-01-26 00:00:00+00:00,35.0,1.17,NaN
1989-01-27 00:00:00+00:00,34.3,1.16,NaN
1989-01-28 00:00:00+00:00,34.3,1.16,NaN
1989-01-29 00:00:00+00:00,33.0,1.14,NaN
1989-01-30 00:00:00+00:00,33.0,1.14,NaN
1989-01-31 00:00:00+00:00,30.0,1.1,NaN
1989-02-01 00:00:00+00:00,25.0,1.0,NaN
1989-02-02 00:00:00+00:00,25.0,1.0,NaN
1989-02-03 00:00:00+00:00,24.0,0.98,NaN
1989-02-04 00:00:00+00:00,24.0,0.98,NaN
1989-02-05 00:00:00+00:00,23.4,0.97,NaN
1989-02-06 00:00:00+00:00,23.0,0.95,NaN
1989-02-07 00:00:00+00:00,23.0,0.95,NaN
1989-02-08 00:00:00+00:00,22.2,0.94,NaN
1989-02-09 00:00:00+00:00,22.0,0.93,NaN
1989-02-10 00:00:00+00:00,22.2,0.94,NaN
1989-02-11 00:00:00+00:00,21.3,0.92,NaN
1989-02-12 00:00:00+00:00,21.0,0.91,NaN
1989-02-13 00:00:00+00:00,21.0,0.9,NaN
1989-02-14 00:00:00+00:00,21.0,0.91,NaN
1989-02-15 00:00:00+00:00,21.3,0.92,NaN
1989-02-16 00:00:00+00:00,21.0,0.91,NaN
1989-02-17 00:00:00+00:00,21.0,0.9,NaN
1989-02-18 00:00:00+00:00,21.0,0.9,NaN
1989-02-19 00:00:00+00:00,20.0,0.88,NaN
1989-02-20 00:00:00+00:00,20.0,0.88,NaN
1989-02-21 00:00:00+00:00,19.4,0.87,NaN
1989-02-22 00:00:00+00:00,19.4,0.87,NaN
1989-02-23 00:00:00+00:00,20.2,0.89,NaN
1989-02-24 00:00:00+00:00,20.0,0.88,NaN
1989-02-25 00:00:00+00:00,19.4,0.87,NaN
1989-02-26 00:00:00+00:00,19.4,0.87,NaN
1989-02-27 00:00:00+00:00,18.0,0.83,NaN
1989-02-28 00:00:00+00:00,18.0,0.83,NaN
1989-03-01 00:00:00+00:00,18.4,0.84,NaN
1989-03-02 00:00:00+00:00,18.0,0.83,NaN
1989-03-03 00:00:00+00:00,17.0,0.8,NaN
1989-03-04 00:00:00+00:00,17.0,0.8,NaN
1989-03-05 00:00:00+00:00,16.4,0.78,NaN
1989-03-06 00:00:00+00:00,16.0,0.75,NaN
1989-03-07 00:00:00+00:00,15.0,0.73,NaN
1989-03-08 00:00:00+00:00,15.0,0.72,NaN
1989-03-09 00:00:00+00:00,15.0,0.71,NaN
1989-03-10 00:00:00+00:00,14.0,0.69,NaN
1989-03-11 00:00:00+00:00,14.0,0.68,NaN
1989-03-12 00:00:00+00:00,14.0,0.67,NaN
1989-03-13 00:00:00+00:00,13.1,0.65,NaN
1989-03-14 00:00:00+00:00,13.1,0.65,NaN
1989-03-15 00:00:00+00:00,13.0,0.64,NaN
1989-03-16 00:00:00+00:00,13.0,0.63,NaN
1989-03-17 00:00:00+00:00,13.1,0.65,NaN
1989-03-18 00:00:00+00:00,13.3,0.66,NaN
1989-03-19 00:00:00+00:00,13.0,0.64,NaN
1989-03-20 00:00:00+00:00,13.0,0.64,NaN
1989-03-21 00:00:00+00:00,13.3,0.66,NaN
1989-03-22 00:00:00+00:00,13.3,0.66,NaN
1989-03-23 00:00:00+00:00,14.0,0.68,NaN
1989-03-24 00:00:00+00:00,13.1,0.65,NaN
1989-03-25 00:00:00+00:00,13.1,0.65,NaN
1989-03-26 00:00:00+00:00,13.0,0.64,NaN
1989-03-27 00:00:00+00:00,13.0,0.64,NaN
1989-03-28 00:00:00+00:00,14.0,0.67,NaN
1989-03-29 00:00:00+00:00,14.0,0.69,NaN
1989-03-30 00:00:00+00:00,14.0,0.69,NaN
1989-03-31 00:00:00+00:00,14.0,0.69,NaN
1989-04-01 00:00:00+00:00,14.2,0.7,NaN
1989-04-02 00:00:00+00:00,15.3,0.74,NaN
1989-04-03 00:00:00+00:00,15.3,0.74,NaN
1989-04-04 00:00:00+00:00,16.4,0.78,NaN
1989-04-05 00:00:00+00:00,16.4,0.78,NaN
1989-04-06 00:00:00+00:00,17.0,0.8,NaN
1989-04-07 00:00:00+00:00,16.0,0.75,NaN
1989-04-08 00:00:00+00:00,15.0,0.73,NaN
1989-04-09 00:00:00+00:00,17.0,0.8,NaN
1989-04-10 00:00:00+00:00,19.1,0.86,NaN
1989-04-11 00:00:00+00:00,21.0,0.9,NaN
1989-04-12 00:00:00+00:00,21.0,0.91,NaN
1989-04-13 00:00:00+00:00,22.0,0.93,NaN
1989-04-14 00:00:00+00:00,22.0,0.93,NaN
1989-04-15 00:00:00+00:00,23.0,0.95,NaN
1989-04-16 00:00:00+00:00,22.2,0.94,NaN
1989-04-17 00:00:00+00:00,23.0,0.95,NaN
1989-04-18 00:00:00+00:00,23.0,0.95,NaN
1989-04-19 00:00:00+00:00,23.4,0.97,NaN
1989-04-20 00:00:00+00:00,23.4,0.97,NaN
1989-04-21 00:00:00+00:00,23.0,0.95,NaN
1989-04-22 00:00:00+00:00,21.3,0.92,NaN
1989-04-23 00:00:00+00:00,21.0,0.9,NaN
1989-04-24 00:00:00+00:00,22.2,0.94,NaN
1989-04-25 00:00:00+00:00,22.2,0.94,NaN
1989-04-26 00:00:00+00:00,22.0,0.93,NaN
1989-04-27 00:00:00+00:00,21.3,0.92,NaN
1989-04-28 00:00:00+00:00,21.0,0.91,NaN
1989-04-29 00:00:00+00:00,21.0,0.91,NaN
1989-04-30 00:00:00+00:00,21.0,0.9,NaN
1989-05-01 00:00:00+00:00,21.3,0.92,NaN
1989-05-02 00:00:00+00:00,21.3,0.92,NaN
1989-05-03 00:00:00+00:00,22.0,0.93,NaN
1989-05-04 00:00:00+00:00,22.0,0.93,NaN
1989-05-05 00:00:00+00:00,21.3,0.92,NaN
