Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,67.8,14.52,NaN
1989-01-02 00:00:00+00:00,66.0,14.5,NaN
1989-01-03 00:00:00+00:00,70.4,14.55,NaN
1989-01-04 00:00:00+00:00,72.2,14.57,NaN
1989-01-05 00:00:00+00:00,72.2,14.57,NaN
1989-01-06 00:00:00+00:00,74.9,14.6,NaN
1989-01-07 00:00:00+00:00,71.3,14.56,NaN
1989-01-08 00:00:00+00:00,69.6,14.54,NaN
1989-01-09 00:00:00+00:00,66.9,14.51,NaN
1989-01-10 00:00:00+00:00,64.3,14.48,NaN
1989-01-11 00:00:00+00:00,62.7,14.46,NaN
1989-01-12 00:00:00+00:00,61.8,14.45,NaN
1989-01-13 00:00:00+00:00,61.0,14.44,NaN
1989-01-14 00:00:00+00:00,60.2,14.43,NaN
1989-01-15 00:00:00+00:00,59.4,14.42,NaN
1989-01-16 00:00:00+00:00,58.5,14.41,NaN
1989-01-17 00:00:00+00:00,58.5,14.41,NaN
1989-01-18 00:00:00+00:00,57.7,14.4,NaN
1989-01-19 00:00:00+00:00,57.7,14.4,NaN
1989-01-20 00:00:00+00:00,56.1,14.38,NaN
1989-01-21 00:00:00+00:00,57.7,14.4,NaN
1989-01-22 00:00:00+00:00,56.1,14.38,NaN
1989-01-23 00:00:00+00:00,54.4,14.36,NaN
1989-01-24 00:00:00+00:00,51.1,14.32,NaN
1989-01-25 00:00:00+00:00,49.5,14.3,NaN
1989-01-26 00:00:00+00:00,47.9,14.28,NaN
1989-01-27 00:00:00+00:00,46.2,14.26,NaN
1989-01-28 00:00:00+00:00,44.6,14.24,NaN
1989-01-29 00:00:00+00:00,43.8,14.23,NaN
1989-01-30 00:00:00+00:00,42.9,14.22,NaN
1989-01-31 00:00:00+00:00,42.9,14.22,NaN
1989-02-01 00:00:00+00:00,41.3,14.2,NaN
1989-02-02 00:00:00+00:00,41.3,14.2,NaN
1989-02-03 00:00:00+00:00,41.3,14.2,NaN
1989-02-04 00:00:00+00:00,39.7,14.18,NaN
1989-02-05 00:00:00+00:00,39.7,14.18,NaN
1989-02-06 00:00:00+00:00,39.7,14.18,NaN
1989-02-07 00:00:00+00:00,38.2,14.16,NaN
1989-02-08 00:00:00+00:00,38.2,14.16,NaN
1989-02-09 00:00:00+00:00,38.2,14.16,NaN
1989-02-10 00:00:00+00:00,36.6,14.14,NaN
1989-02-11 00:00:00+00:00,36.6,14.14,NaN
1989-02-12 00:00:00+00:00,36.6,14.14,NaN
1989-02-13 00:00:00+00:00,35.8,14.13,NaN
1989-02-14 00:00:00+00:00,35.8,14.13,NaN
1989-02-15 00:00:00+00:00,35.8,14.13,NaN
1989-02-16 00:00:00+00:00,35.1,14.12,NaN
1989-02-17 00:00:00+00:00,35.1,14.12,NaN
1989-02-18 00:00:00+00:00,34.3,14.11,NaN
1989-02-19 00:00:00+00:00,33.5,14.1,NaN
1989-02-20 00:00:00+00:00,33.5,14.1,NaN
1989-02-21 00:00:00+00:00,32.1,14.08,NaN
1989-02-22 00:00:00+00:00,32.1,14.08,NaN
1989-02-23 00:00:00+00:00,32.1,14.08,NaN
1989-02-24 00:00:00+00:00,32.1,14.08,NaN
1989-02-25 00:00:00+00:00,32.1,14.08,NaN
1989-02-26 00:00:00+00:00,31.4,14.07,NaN
1989-02-27 00:00:00+00:00,31.4,14.07,NaN
1989-02-28 00:00:00+00:00,31.4,14.07,NaN
1989-03-01 00:00:00+00:00,31.4,14.07,NaN
1989-03-02 00:00:00+00:00,30.7,14.06,NaN
1989-03-03 00:00:00+00:00,30.7,14.06,NaN
1989-03-04 00:00:00+00:00,30.0,14.05,NaN
1989-03-05 00:00:00+00:00,29.3,14.04,NaN
1989-03-06 00:00:00+00:00,29.3,14.04,NaN
1989-03-07 00:00:00+00:00,29.3,14.04,NaN
1989-03-08 00:00:00+00:00,28.6,14.03,NaN
1989-03-09 00:00:00+00:00,28.0,14.02,NaN
1989-03-10 00:00:00+00:00,28.0,14.02,NaN
1989-03-11 00:00:00+00:00,27.3,14.01,NaN
1989-03-12 00:00:00+00:00,27.3,14.01,NaN
1989-03-13 00:00:00+00:00,26.6,14.0,NaN
1989-03-14 00:00:00+00:00,26.6,14.0,NaN
1989-03-15 00:00:00+00:00,26.6,14.0,NaN
1989-03-16 00:00:00+00:00,25.9,13.99,NaN
1989-03-17 00:00:00+00:00,26.6,14.0,NaN
1989-03-18 00:00:00+00:00,29.3,14.04,NaN
1989-03-19 00:00:00+00:00,29.3,14.04,NaN
1989-03-20 00:00:00+00:00,36.6,14.14,NaN
1989-03-21 00:00:00+00:00,42.9,14.22,NaN
1989-03-22 00:00:00+00:00,52.0,14.33,NaN
1989-03-23 00:00:00+00:00,49.5,14.3,NaN
1989-03-24 00:00:00+00:00,36.6,14.14,NaN
1989-03-25 00:00:00+00:00,33.5,14.1,NaN
1989-03-26 00:00:00+00:00,42.9,14.22,NaN
1989-03-27 00:00:00+00:00,52.8,14.34,NaN
1989-03-28 00:00:00+00:00,48.7,14.29,NaN
1989-03-29 00:00:00+00:00,38.2,14.16,NaN
1989-03-30 00:00:00+00:00,30.7,14.06,NaN
1989-03-31 00:00:00+00:00,29.3,14.04,NaN
1989-04-01 00:00:00+00:00,29.3,14.04,NaN
1989-04-02 00:00:00+00:00,28.6,14.03,NaN
1989-04-03 00:00:00+00:00,32.8,14.09,NaN
1989-04-04 00:00:00+00:00,44.6,14.24,NaN
1989-04-05 00:00:00+00:00,45.4,14.25,NaN
1989-04-06 00:00:00+00:00,46.2,14.26,NaN
1989-04-07 00:00:00+00:00,46.2,14.26,NaN
1989-04-08 00:00:00+00:00,39.7,14.18,NaN
1989-04-09 00:00:00+00:00,33.5,14.1,NaN
1989-04-10 00:00:00+00:00,35.1,14.12,NaN
1989-04-11 00:00:00+00:00,39.0,14.17,NaN
1989-04-12 00:00:00+00:00,35.1,14.12,NaN
1989-04-13 00:00:00+00:00,34.3,14.11,NaN
1989-04-14 00:00:00+00:00,33.5,14.1,NaN
1989-04-15 00:00:00+00:00,32.1,14.08,NaN
1989-04-16 00:00:00+00:00,30.7,14.06,NaN
1989-04-17 00:00:00+00:00,32.1,14.08,NaN
1989-04-18 00:00:00+00:00,32.1,14.08,NaN
1989-04-19 00:00:00+00:00,33.5,14.1,NaN
1989-04-20 00:00:00+00:00,32.1,14.08,NaN
1989-04-21 00:00:00+00:00,30.7,14.06,NaN
1989-04-22 00:00:00+00:00,29.3,14.04,NaN
1989-04-23 00:00:00+00:00,27.3,14.01,NaN
1989-04-24 00:00:00+00:00,25.2,13.98,NaN
1989-04-25 00:00:00+00:00,23.9,13.96,NaN
1989-04-26 00:00:00+00:00,25.9,13.99,NaN
1989-04-27 00:00:00+00:00,30.7,14.06,NaN
1989-04-28 00:00:00+00:00,29.3,14.04,NaN
1989-04-29 00:00:00+00:00,28.6,14.03,NaN
1989-04-30 00:00:00+00:00,28.0,14.02,NaN
1989-05-01 00:00:00+00:00,26.6,14.0,NaN
1989-05-02 00:00:00+00:00,26.6,14.0,NaN
1989-05-03 00:00:00+00:00,26.6,14.0,NaN
1989-05-04 00:00:00+00:00,28.0,14.02,NaN
1989-05-05 00:00:00+00:00,33.5,14.1,NaN
1989-05-06 00:00:00+00:00,35.1,14.12,NaN
1989-05-07 00:00:00+00:00,39.7,14.18,NaN
1989-05-08 00:00:00+00:00,42.1,14.21,NaN
1989-05-09 00:00:00+00:00,67.8,14.52,NaN
1989-05-10 00:00:00+00:00,46.2,14.26,NaN
