Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1969-04-01 00:00:00+00:00,3.7,1.31,NaN
1969-04-02 00:00:00+00:00,3.8,1.32,NaN
1969-04-03 00:00:00+00:00,3.8,1.32,NaN
1969-04-04 00:00:00+00:00,3.6,1.3,NaN
1969-04-05 00:00:00+00:00,3.5,1.29,NaN
1969-04-06 00:00:00+00:00,3.4,1.28,NaN
1969-04-07 00:00:00+00:00,3.8,1.32,NaN
1969-04-08 00:00:00+00:00,4.4,1.37,NaN
1969-04-09 00:00:00+00:00,4.7,1.4,NaN
1969-04-10 00:00:00+00:00,4.4,1.37,NaN
1969-04-11 00:00:00+00:00,4.0,1.34,NaN
1969-04-12 00:00:00+00:00,3.9,1.33,NaN
1969-04-13 00:00:00+00:00,3.7,1.31,NaN
1969-04-14 00:00:00+00:00,3.4,1.28,NaN
1969-04-15 00:00:00+00:00,3.2,1.26,NaN
1969-04-16 00:00:00+00:00,3.2,1.26,NaN
1969-04-17 00:00:00+00:00,3.7,1.31,NaN
1969-04-18 00:00:00+00:00,3.6,1.3,NaN
1969-04-19 00:00:00+00:00,3.4,1.28,NaN
1969-04-20 00:00:00+00:00,3.3,1.27,NaN
1969-04-21 00:00:00+00:00,3.2,1.26,NaN
1969-04-22 00:00:00+00:00,3.0,1.24,NaN
1969-04-23 00:00:00+00:00,2.8,1.22,NaN
1969-04-24 00:00:00+00:00,2.9,1.23,NaN
1969-04-25 00:00:00+00:00,2.8,1.22,NaN
1969-04-26 00:00:00+00:00,2.8,1.22,NaN
1969-04-27 00:00:00+00:00,2.8,1.22,NaN
1969-04-28 00:00:00+00:00,2.7,1.21,NaN
1969-04-29 00:00:00+00:00,2.7,1.21,NaN
1969-04-30 00:00:00+00:00,2.8,1.22,NaN
1969-05-01 00:00:00+00:00,2.7,1.21,NaN
1969-05-02 00:00:00+00:00,2.7,1.2,NaN
1969-05-03 00:00:00+00:00,2.7,1.2,NaN
1969-05-04 00:00:00+00:00,2.4,1.17,NaN
1969-05-05 00:00:00+00:00,2.2,1.15,NaN
1969-05-06 00:00:00+00:00,2.1,1.14,NaN
1969-05-07 00:00:00+00:00,2.4,1.17,NaN
1969-05-08 00:00:00+00:00,2.7,1.21,NaN
1969-05-09 00:00:00+00:00,3.5,1.29,NaN
1969-05-10 00:00:00+00:00,4.3,1.36,NaN
1969-05-11 00:00:00+00:00,4.7,1.4,NaN
1969-05-12 00:00:00+00:00,4.9,1.42,NaN
1969-05-13 00:00:00+00:00,4.3,1.36,NaN
1969-05-14 00:00:00+00:00,3.8,1.32,NaN
1969-05-15 00:00:00+00:00,3.0,1.24,NaN
1969-05-16 00:00:00+00:00,2.7,1.2,NaN
1969-05-17 00:00:00+00:00,2.6,1.19,NaN
1969-05-18 00:00:00+00:00,2.0,1.13,NaN
1969-05-19 00:00:00+00:00,2.2,1.15,NaN
1969-05-20 00:00:00+00:00,2.7,1.21,NaN
1969-05-21 00:00:00+00:00,3.3,1.27,NaN
1969-05-22 00:00:00+00:00,3.1,1.25,NaN
1969-05-23 00:00:00+00:00,1.9,1.12,NaN
1969-05-24 00:00:00+00:00,1.4,1.07,NaN
1969-05-25 00:00:00+00:00,1.1,1.03,NaN
1969-05-26 00:00:00+00:00,27.9,1.0,NaN
1969-05-27 00:00:00+00:00,1.4,1.07,NaN
1969-05-28 00:00:00+00:00,3.1,1.25,NaN
1969-05-29 00:00:00+00:00,5.0,1.43,NaN
1969-05-30 00:00:00+00:00,13.0,1.97,NaN
1969-05-31 00:00:00+00:00,35.4,3.01,NaN
1969-06-01 00:00:00+00:00,40.2,3.2,NaN
1969-06-02 00:00:00+00:00,43.3,3.32,NaN
1969-06-03 00:00:00+00:00,43.6,3.33,NaN
1969-06-04 00:00:00+00:00,41.0,3.23,NaN
1969-06-05 00:00:00+00:00,33.3,2.92,NaN
1969-06-06 00:00:00+00:00,22.2,2.43,NaN
1969-06-07 00:00:00+00:00,24.4,2.53,NaN
1969-06-08 00:00:00+00:00,30.7,2.81,NaN
1969-06-09 00:00:00+00:00,28.0,2.69,NaN
1969-06-10 00:00:00+00:00,18.6,2.26,NaN
1969-06-11 00:00:00+00:00,12.2,1.93,NaN
1969-06-12 00:00:00+00:00,8.4,1.7,NaN
1969-06-13 00:00:00+00:00,6.4,1.55,NaN
1969-06-14 00:00:00+00:00,6.1,1.52,NaN
1969-06-15 00:00:00+00:00,5.4,1.46,NaN
1969-06-16 00:00:00+00:00,4.5,1.38,NaN
1969-06-17 00:00:00+00:00,3.8,1.32,NaN
1969-06-18 00:00:00+00:00,3.7,1.31,NaN
1969-06-19 00:00:00+00:00,17.6,2.21,NaN
1969-06-20 00:00:00+00:00,30.5,2.8,NaN
1969-06-21 00:00:00+00:00,29.6,2.76,NaN
1969-06-22 00:00:00+00:00,22.4,2.44,NaN
1969-06-23 00:00:00+00:00,14.8,2.07,NaN
1969-06-24 00:00:00+00:00,12.1,1.92,NaN
1969-06-25 00:00:00+00:00,9.5,1.77,NaN
1969-06-26 00:00:00+00:00,6.7,1.57,NaN
1969-06-27 00:00:00+00:00,5.4,1.46,NaN
1969-06-28 00:00:00+00:00,5.3,1.45,NaN
1969-06-29 00:00:00+00:00,5.3,1.45,NaN
1969-06-30 00:00:00+00:00,5.4,1.46,NaN
1969-07-01 00:00:00+00:00,5.4,1.46,NaN
1969-07-02 00:00:00+00:00,7.6,1.64,NaN
1969-07-03 00:00:00+00:00,17.8,2.22,NaN
1969-07-04 00:00:00+00:00,23.3,2.48,NaN
1969-07-05 00:00:00+00:00,20.0,2.33,NaN
1969-07-06 00:00:00+00:00,15.4,2.1,NaN
1969-07-07 00:00:00+00:00,15.6,2.11,NaN
1969-07-08 00:00:00+00:00,25.5,2.58,NaN
1969-07-09 00:00:00+00:00,37.1,3.08,NaN
1969-07-10 00:00:00+00:00,37.1,3.08,NaN
1969-07-11 00:00:00+00:00,25.5,2.58,NaN
1969-07-12 00:00:00+00:00,17.2,2.19,NaN
