Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1986-01-01 00:00:00+00:00,150.0,31.96,NaN
1986-01-02 00:00:00+00:00,146.0,31.94,NaN
1986-01-03 00:00:00+00:00,143.0,31.92,NaN
1986-01-04 00:00:00+00:00,138.0,31.89,NaN
1986-01-05 00:00:00+00:00,134.0,31.86,NaN
1986-01-06 00:00:00+00:00,130.0,31.84,NaN
1986-01-07 00:00:00+00:00,127.0,31.82,NaN
1986-01-08 00:00:00+00:00,124.0,31.8,NaN
1986-01-09 00:00:00+00:00,121.0,31.78,NaN
1986-01-10 00:00:00+00:00,118.0,31.76,NaN
1986-01-11 00:00:00+00:00,118.0,31.76,NaN
1986-01-12 00:00:00+00:00,116.0,31.74,NaN
1986-01-13 00:00:00+00:00,114.0,31.73,NaN
1986-01-14 00:00:00+00:00,113.0,31.72,NaN
1986-01-15 00:00:00+00:00,110.0,31.7,NaN
1986-01-16 00:00:00+00:00,107.0,31.68,NaN
1986-01-17 00:00:00+00:00,107.0,31.68,NaN
1986-01-18 00:00:00+00:00,106.0,31.67,NaN
1986-01-19 00:00:00+00:00,105.0,31.66,NaN
1986-01-20 00:00:00+00:00,102.0,31.64,NaN
1986-01-21 00:00:00+00:00,99.0,31.62,NaN
1986-01-22 00:00:00+00:00,97.0,31.6,NaN
1986-01-23 00:00:00+00:00,96.0,31.59,NaN
1986-01-24 00:00:00+00:00,94.0,31.58,NaN
1986-01-25 00:00:00+00:00,94.0,31.58,NaN
1986-01-26 00:00:00+00:00,93.0,31.57,NaN
1986-01-27 00:00:00+00:00,92.0,31.56,NaN
1986-01-28 00:00:00+00:00,91.0,31.55,NaN
1986-01-29 00:00:00+00:00,90.0,31.54,NaN
1986-01-30 00:00:00+00:00,90.0,31.54,NaN
1986-01-31 00:00:00+00:00,88.0,31.53,NaN
1986-02-01 00:00:00+00:00,88.0,31.53,NaN
1986-02-02 00:00:00+00:00,87.0,31.52,NaN
1986-02-03 00:00:00+00:00,87.0,31.52,NaN
1986-02-04 00:00:00+00:00,87.0,31.52,NaN
1986-02-05 00:00:00+00:00,86.0,31.51,NaN
1986-02-06 00:00:00+00:00,86.0,31.51,NaN
1986-02-07 00:00:00+00:00,85.0,31.5,NaN
1986-02-08 00:00:00+00:00,85.0,31.5,NaN
1986-02-09 00:00:00+00:00,85.0,31.5,NaN
1986-02-10 00:00:00+00:00,85.0,31.48,NaN
1986-02-11 00:00:00+00:00,83.0,31.48,NaN
1986-02-12 00:00:00+00:00,83.0,31.46,NaN
1986-02-13 00:00:00+00:00,81.0,31.44,NaN
1986-02-14 00:00:00+00:00,78.0,31.42,NaN
1986-02-15 00:00:00+00:00,76.0,31.4,NaN
1986-02-16 00:00:00+00:00,74.0,31.4,NaN
1986-02-17 00:00:00+00:00,74.0,31.39,NaN
1986-02-18 00:00:00+00:00,73.0,31.38,NaN
1986-02-19 00:00:00+00:00,72.0,31.38,NaN
1986-02-20 00:00:00+00:00,72.0,31.4,NaN
1986-02-21 00:00:00+00:00,74.0,31.4,NaN
1986-02-22 00:00:00+00:00,74.0,31.42,NaN
1986-02-23 00:00:00+00:00,76.0,31.42,NaN
1986-02-24 00:00:00+00:00,74.0,31.42,NaN
1986-02-25 00:00:00+00:00,72.0,31.38,NaN
1986-02-26 00:00:00+00:00,72.0,31.38,NaN
1986-02-27 00:00:00+00:00,70.0,31.36,NaN
1986-02-28 00:00:00+00:00,68.0,31.34,NaN
1986-03-01 00:00:00+00:00,67.0,31.33,NaN
1986-03-02 00:00:00+00:00,66.0,31.32,NaN
1986-03-03 00:00:00+00:00,64.0,31.3,NaN
1986-03-04 00:00:00+00:00,62.0,31.28,NaN
1986-03-05 00:00:00+00:00,62.0,31.28,NaN
1986-03-06 00:00:00+00:00,63.0,31.29,NaN
1986-03-07 00:00:00+00:00,62.0,31.28,NaN
1986-03-08 00:00:00+00:00,63.0,31.29,NaN
1986-03-09 00:00:00+00:00,63.0,31.29,NaN
1986-03-10 00:00:00+00:00,63.0,31.29,NaN
1986-03-11 00:00:00+00:00,62.0,31.28,NaN
1986-03-12 00:00:00+00:00,60.0,31.26,NaN
1986-03-13 00:00:00+00:00,59.0,31.25,NaN
1986-03-14 00:00:00+00:00,60.0,31.26,NaN
1986-03-15 00:00:00+00:00,62.0,31.28,NaN
1986-03-16 00:00:00+00:00,62.0,31.28,NaN
1986-03-17 00:00:00+00:00,72.0,31.38,NaN
1986-03-18 00:00:00+00:00,68.0,31.34,NaN
1986-03-19 00:00:00+00:00,69.0,31.35,NaN
1986-03-20 00:00:00+00:00,70.0,31.36,NaN
1986-03-21 00:00:00+00:00,72.0,31.38,NaN
1986-03-22 00:00:00+00:00,72.0,31.38,NaN
1986-03-23 00:00:00+00:00,66.0,31.32,NaN
1986-03-24 00:00:00+00:00,63.0,31.29,NaN
1986-03-25 00:00:00+00:00,61.0,31.27,NaN
1986-03-26 00:00:00+00:00,58.0,31.24,NaN
1986-03-27 00:00:00+00:00,57.0,31.23,NaN
1986-03-28 00:00:00+00:00,55.0,31.21,NaN
1986-03-29 00:00:00+00:00,54.0,31.2,NaN
1986-03-30 00:00:00+00:00,55.0,31.21,NaN
1986-03-31 00:00:00+00:00,59.0,31.25,NaN
1986-04-01 00:00:00+00:00,62.0,31.28,NaN
1986-04-02 00:00:00+00:00,64.0,31.3,NaN
1986-04-03 00:00:00+00:00,61.0,31.27,NaN
1986-04-04 00:00:00+00:00,58.0,31.24,NaN
1986-04-05 00:00:00+00:00,55.0,31.21,NaN
1986-04-06 00:00:00+00:00,53.0,31.18,NaN
1986-04-07 00:00:00+00:00,53.0,31.18,NaN
1986-04-08 00:00:00+00:00,51.0,31.16,NaN
1986-04-09 00:00:00+00:00,50.0,31.15,NaN
1986-04-10 00:00:00+00:00,51.0,31.16,NaN
1986-04-11 00:00:00+00:00,54.0,31.2,NaN
1986-04-12 00:00:00+00:00,58.0,31.24,NaN
1986-04-13 00:00:00+00:00,60.0,31.26,NaN
1986-04-14 00:00:00+00:00,56.0,31.22,NaN
1986-04-15 00:00:00+00:00,54.0,31.2,NaN
1986-04-16 00:00:00+00:00,53.0,31.18,NaN
1986-04-17 00:00:00+00:00,53.0,31.18,NaN
1986-04-18 00:00:00+00:00,52.0,31.17,NaN
1986-04-19 00:00:00+00:00,51.0,31.16,NaN
1986-04-20 00:00:00+00:00,52.0,31.17,NaN
1986-04-21 00:00:00+00:00,54.0,31.2,NaN
1986-04-22 00:00:00+00:00,56.0,31.22,NaN
1986-04-23 00:00:00+00:00,56.0,31.22,NaN
1986-04-24 00:00:00+00:00,56.0,31.22,NaN
1986-04-25 00:00:00+00:00,52.0,31.17,NaN
1986-04-26 00:00:00+00:00,49.0,31.14,NaN
1986-04-27 00:00:00+00:00,47.0,31.12,NaN
1986-04-28 00:00:00+00:00,45.0,31.1,NaN
1986-04-29 00:00:00+00:00,44.0,31.08,NaN
1986-04-30 00:00:00+00:00,43.0,31.07,NaN
1986-05-01 00:00:00+00:00,41.0,31.05,NaN
1986-05-02 00:00:00+00:00,40.0,31.04,NaN
1986-05-03 00:00:00+00:00,40.0,31.04,NaN
1986-05-04 00:00:00+00:00,40.0,31.04,NaN
1986-05-05 00:00:00+00:00,44.0,31.08,NaN
1986-05-06 00:00:00+00:00,45.0,31.1,NaN
1986-05-07 00:00:00+00:00,53.0,31.18,NaN
1986-05-08 00:00:00+00:00,57.0,31.23,NaN
1986-05-09 00:00:00+00:00,69.0,31.35,NaN
1986-05-10 00:00:00+00:00,71.0,31.37,NaN
