Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1980-07-01 00:00:00+00:00,1390.0,5.64,NaN
1980-07-02 00:00:00+00:00,1443.0,5.74,NaN
1980-07-03 00:00:00+00:00,1380.0,5.62,NaN
1980-07-04 00:00:00+00:00,1326.0,5.52,NaN
1980-07-05 00:00:00+00:00,1337.0,5.54,NaN
1980-07-06 00:00:00+00:00,1380.0,5.62,NaN
1980-07-07 00:00:00+00:00,1385.0,5.63,NaN
1980-07-08 00:00:00+00:00,1390.0,5.64,NaN
1980-07-09 00:00:00+00:00,1433.0,5.72,NaN
1980-07-10 00:00:00+00:00,1443.0,5.74,NaN
1980-07-11 00:00:00+00:00,1438.0,5.73,NaN
1980-07-12 00:00:00+00:00,1475.0,5.8,NaN
1980-07-13 00:00:00+00:00,1443.0,5.74,NaN
1980-07-14 00:00:00+00:00,1380.0,5.62,NaN
1980-07-15 00:00:00+00:00,1298.0,5.45,NaN
1980-07-16 00:00:00+00:00,1195.0,5.26,NaN
1980-07-17 00:00:00+00:00,1121.0,5.11,NaN
1980-07-18 00:00:00+00:00,1072.0,5.01,NaN
1980-07-19 00:00:00+00:00,1067.0,4.96,NaN
1980-07-20 00:00:00+00:00,1030.0,4.92,NaN
1980-07-21 00:00:00+00:00,1067.0,4.96,NaN
1980-07-22 00:00:00+00:00,1116.0,5.1,NaN
1980-07-23 00:00:00+00:00,1166.0,5.2,NaN
1980-07-24 00:00:00+00:00,1245.0,5.36,NaN
1980-07-25 00:00:00+00:00,1530.0,5.9,NaN
1980-07-26 00:00:00+00:00,1995.0,6.6,NaN
1980-07-27 00:00:00+00:00,2206.0,6.86,NaN
1980-07-28 00:00:00+00:00,2215.0,6.87,NaN
1980-07-29 00:00:00+00:00,2336.0,7.02,NaN
1980-07-30 00:00:00+00:00,2548.0,7.28,NaN
1980-07-31 00:00:00+00:00,2669.0,7.43,NaN
1980-08-01 00:00:00+00:00,2726.0,7.5,NaN
1980-08-02 00:00:00+00:00,2743.0,7.52,NaN
1980-08-03 00:00:00+00:00,2759.0,7.54,NaN
1980-08-04 00:00:00+00:00,2832.0,7.63,NaN
1980-08-05 00:00:00+00:00,2919.0,7.72,NaN
1980-08-06 00:00:00+00:00,2929.0,7.73,NaN
1980-08-07 00:00:00+00:00,2889.0,7.69,NaN
1980-08-08 00:00:00+00:00,2816.0,7.61,NaN
1980-08-09 00:00:00+00:00,2751.0,7.53,NaN
1980-08-10 00:00:00+00:00,2686.0,7.45,NaN
1980-08-11 00:00:00+00:00,2629.0,7.38,NaN
1980-08-12 00:00:00+00:00,2580.0,7.32,NaN
1980-08-13 00:00:00+00:00,2539.0,7.27,NaN
1980-08-14 00:00:00+00:00,2483.0,7.2,NaN
1980-08-15 00:00:00+00:00,2434.0,7.14,NaN
1980-08-16 00:00:00+00:00,2385.0,7.08,NaN
1980-08-17 00:00:00+00:00,2353.0,7.04,NaN
1980-08-18 00:00:00+00:00,2336.0,7.02,NaN
1980-08-19 00:00:00+00:00,2369.0,7.06,NaN
1980-08-20 00:00:00+00:00,2418.0,7.12,NaN
1980-08-21 00:00:00+00:00,2442.0,7.15,NaN
1980-08-22 00:00:00+00:00,2442.0,7.15,NaN
1980-08-23 00:00:00+00:00,2474.0,7.19,NaN
1980-08-24 00:00:00+00:00,2491.0,7.21,NaN
1980-08-25 00:00:00+00:00,2604.0,7.35,NaN
1980-08-26 00:00:00+00:00,2870.0,7.67,NaN
1980-08-27 00:00:00+00:00,3087.0,7.88,NaN
1980-08-28 00:00:00+00:00,3430.0,8.18,NaN
1980-08-29 00:00:00+00:00,3814.0,8.5,NaN
1980-08-30 00:00:00+00:00,4041.0,8.68,NaN
1980-08-31 00:00:00+00:00,4192.0,8.8,NaN
1980-09-01 00:00:00+00:00,4342.0,8.92,NaN
1980-09-02 00:00:00+00:00,4449.0,9.01,NaN
1980-09-03 00:00:00+00:00,4527.0,9.08,NaN
1980-09-04 00:00:00+00:00,4549.0,9.1,NaN
1980-09-05 00:00:00+00:00,4594.0,9.14,NaN
1980-09-06 00:00:00+00:00,4638.0,9.18,NaN
1980-09-07 00:00:00+00:00,4705.0,9.24,NaN
1980-09-08 00:00:00+00:00,4772.0,9.3,NaN
1980-09-09 00:00:00+00:00,4862.0,9.38,NaN
1980-09-10 00:00:00+00:00,4996.0,9.5,NaN
1980-09-11 00:00:00+00:00,5170.0,9.66,NaN
1980-09-12 00:00:00+00:00,5292.0,9.78,NaN
1980-09-13 00:00:00+00:00,5364.0,9.86,NaN
1980-09-14 00:00:00+00:00,5423.0,9.92,NaN
1980-09-15 00:00:00+00:00,5491.0,9.99,NaN
1980-09-16 00:00:00+00:00,5534.0,10.04,NaN
1980-09-17 00:00:00+00:00,5559.0,10.07,NaN
