Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1972-04-01 00:00:00+00:00,1180.0,0.75,0.0
1972-04-02 00:00:00+00:00,1160.0,0.73,0.0
1972-04-03 00:00:00+00:00,1160.0,0.72,0.0
1972-04-04 00:00:00+00:00,1160.0,0.72,0.0
1972-04-05 00:00:00+00:00,1160.0,0.73,22.5
1972-04-06 00:00:00+00:00,1230.0,0.76,23.0
1972-04-07 00:00:00+00:00,1260.0,0.8,25.0
1972-04-08 00:00:00+00:00,1290.0,0.84,25.0
1972-04-09 00:00:00+00:00,1320.0,0.88,0.0
1972-04-10 00:00:00+00:00,1350.0,0.91,0.0
1972-04-11 00:00:00+00:00,1420.0,0.95,0.0
1972-04-12 00:00:00+00:00,1440.0,0.97,6.1
1972-04-13 00:00:00+00:00,1450.0,0.99,6.0
1972-04-14 00:00:00+00:00,1480.0,1.03,26.0
1972-04-15 00:00:00+00:00,1510.0,1.06,7.3
1972-04-16 00:00:00+00:00,1560.0,1.13,7.0
1972-04-17 00:00:00+00:00,1600.0,1.17,0.0
1972-04-18 00:00:00+00:00,1620.0,1.19,0.1
1972-04-19 00:00:00+00:00,1620.0,1.2,0.0
1972-04-20 00:00:00+00:00,1630.0,1.21,0.0
1972-04-21 00:00:00+00:00,1630.0,1.21,0.0
1972-04-22 00:00:00+00:00,1620.0,1.19,14.5
1972-04-23 00:00:00+00:00,1560.0,1.13,2.2
1972-04-24 00:00:00+00:00,1540.0,1.1,2.0
1972-04-25 00:00:00+00:00,1500.0,1.05,0.0
1972-04-26 00:00:00+00:00,1460.0,1.0,0.0
1972-04-27 00:00:00+00:00,1400.0,0.93,0.0
1972-04-28 00:00:00+00:00,1360.0,0.88,0.0
1972-04-29 00:00:00+00:00,1310.0,0.81,3.6
1972-04-30 00:00:00+00:00,1280.0,0.77,4.0
1972-05-01 00:00:00+00:00,1270.0,0.76,3.1
1972-05-02 00:00:00+00:00,1260.0,0.75,3.0
1972-05-03 00:00:00+00:00,1270.0,0.76,7.5
1972-05-04 00:00:00+00:00,1280.0,0.78,8.0
1972-05-05 00:00:00+00:00,1320.0,0.83,0.5
1972-05-06 00:00:00+00:00,1360.0,0.87,9.2
1972-05-07 00:00:00+00:00,1400.0,0.93,9.0
1972-05-08 00:00:00+00:00,1500.0,1.05,35.0
1972-05-09 00:00:00+00:00,1560.0,1.13,27.0
1972-05-10 00:00:00+00:00,1670.0,1.25,28.6
1972-05-11 00:00:00+00:00,1770.0,1.36,6.3
1972-05-12 00:00:00+00:00,1810.0,1.41,6.0
1972-05-13 00:00:00+00:00,1800.0,1.39,0.2
1972-05-14 00:00:00+00:00,1730.0,1.32,27.8
1972-05-15 00:00:00+00:00,1690.0,1.27,28.0
1972-05-16 00:00:00+00:00,1620.0,1.2,0.0
1972-05-17 00:00:00+00:00,1600.0,1.17,0.9
1972-05-18 00:00:00+00:00,1580.0,1.15,5.8
