Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1965-12-31 00:00:00+00:00,7.0,1.5,0.0
1966-01-01 00:00:00+00:00,7.4,2.2,0.0
1966-01-02 00:00:00+00:00,7.1,2.16,0.0
1966-01-03 00:00:00+00:00,7.1,2.12,0.0
1966-01-04 00:00:00+00:00,7.0,2.1,0.0
1966-01-05 00:00:00+00:00,6.4,2.1,0.0
1966-01-06 00:00:00+00:00,6.4,2.1,0.0
1966-01-07 00:00:00+00:00,6.0,2.1,0.0
1966-01-08 00:00:00+00:00,6.0,2.09,0.0
1966-01-09 00:00:00+00:00,6.0,2.08,0.0
1966-01-10 00:00:00+00:00,5.4,2.07,0.0
1966-01-11 00:00:00+00:00,5.4,2.05,0.0
1966-01-12 00:00:00+00:00,5.1,2.04,0.0
1966-01-13 00:00:00+00:00,5.1,2.03,0.0
1966-01-14 00:00:00+00:00,5.1,2.01,0.0
1966-01-15 00:00:00+00:00,5.1,2.0,0.0
1966-01-16 00:00:00+00:00,5.0,1.99,0.0
1966-01-17 00:00:00+00:00,4.4,1.98,0.0
1966-01-18 00:00:00+00:00,4.4,1.97,0.0
1966-01-19 00:00:00+00:00,4.4,1.96,0.0
1966-01-20 00:00:00+00:00,4.1,1.96,0.0
1966-01-21 00:00:00+00:00,4.1,1.95,0.0
1966-01-22 00:00:00+00:00,4.1,1.94,0.0
1966-01-23 00:00:00+00:00,4.0,1.93,0.0
1966-01-24 00:00:00+00:00,4.0,1.91,0.0
1966-01-25 00:00:00+00:00,4.0,1.89,0.0
1966-01-26 00:00:00+00:00,4.0,1.57,0.0
1966-01-27 00:00:00+00:00,4.0,1.86,0.0
1966-01-28 00:00:00+00:00,4.0,1.85,0.0
1966-01-29 00:00:00+00:00,5.0,1.84,0.0
1966-01-30 00:00:00+00:00,5.0,1.83,0.0
1966-01-31 00:00:00+00:00,5.0,1.82,0.0
1966-02-01 00:00:00+00:00,4.4,1.8,0.0
1966-02-02 00:00:00+00:00,4.4,1.79,4.6
1966-02-03 00:00:00+00:00,4.4,1.78,5.0
1966-02-04 00:00:00+00:00,4.1,1.78,0.0
1966-02-05 00:00:00+00:00,4.1,1.77,0.0
1966-02-06 00:00:00+00:00,4.1,1.77,0.0
1966-02-07 00:00:00+00:00,4.0,1.76,0.0
1966-02-08 00:00:00+00:00,4.0,1.75,0.0
