Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,1.1,1.26,NaN
1989-01-02 00:00:00+00:00,1.1,1.26,NaN
1989-01-03 00:00:00+00:00,1.1,1.26,NaN
1989-01-04 00:00:00+00:00,1.1,1.26,NaN
1989-01-05 00:00:00+00:00,1.0,1.25,NaN
1989-01-06 00:00:00+00:00,1.0,1.25,NaN
1989-01-07 00:00:00+00:00,1.0,1.25,NaN
1989-01-08 00:00:00+00:00,1.0,1.25,NaN
1989-01-09 00:00:00+00:00,1.0,1.24,NaN
1989-01-10 00:00:00+00:00,1.0,1.24,NaN
1989-01-11 00:00:00+00:00,1.0,1.24,NaN
1989-01-12 00:00:00+00:00,1.0,1.23,NaN
1989-01-13 00:00:00+00:00,1.0,1.23,NaN
1989-01-14 00:00:00+00:00,1.0,1.23,NaN
1989-01-15 00:00:00+00:00,1.0,1.22,NaN
1989-01-16 00:00:00+00:00,1.0,1.22,NaN
1989-01-17 00:00:00+00:00,1.1,1.22,NaN
1989-01-18 00:00:00+00:00,1.1,1.21,NaN
1989-01-19 00:00:00+00:00,1.0,1.21,NaN
1989-01-20 00:00:00+00:00,1.0,1.2,NaN
1989-01-21 00:00:00+00:00,1.0,1.2,NaN
1989-01-22 00:00:00+00:00,1.0,1.19,NaN
1989-01-23 00:00:00+00:00,1.0,1.19,NaN
1989-01-24 00:00:00+00:00,1.0,1.18,NaN
1989-01-25 00:00:00+00:00,1.0,1.18,NaN
1989-01-26 00:00:00+00:00,1.0,1.17,NaN
1989-01-27 00:00:00+00:00,1.0,1.17,NaN
1989-01-28 00:00:00+00:00,1.0,1.17,NaN
1989-01-29 00:00:00+00:00,1.0,1.16,NaN
1989-01-30 00:00:00+00:00,1.0,1.16,NaN
1989-01-31 00:00:00+00:00,1.0,1.16,NaN
1989-02-01 00:00:00+00:00,1.0,1.15,NaN
1989-02-02 00:00:00+00:00,1.0,1.15,NaN
1989-02-03 00:00:00+00:00,1.062,1.15,NaN
1989-02-04 00:00:00+00:00,1.123,1.14,NaN
1989-02-05 00:00:00+00:00,1.185,1.14,NaN
1989-02-06 00:00:00+00:00,1.246,1.14,NaN
1989-02-07 00:00:00+00:00,1.308,1.13,NaN
1989-02-08 00:00:00+00:00,1.369,1.13,NaN
1989-02-09 00:00:00+00:00,1.431,1.13,NaN
1989-02-10 00:00:00+00:00,1.492,1.12,NaN
1989-02-11 00:00:00+00:00,1.554,1.12,NaN
1989-02-12 00:00:00+00:00,1.615,1.12,NaN
1989-02-13 00:00:00+00:00,1.677,1.11,NaN
1989-02-14 00:00:00+00:00,1.738,1.11,NaN
1989-02-15 00:00:00+00:00,1.8,1.11,NaN
1989-02-16 00:00:00+00:00,1.743,1.11,NaN
1989-02-17 00:00:00+00:00,1.686,1.1,NaN
1989-02-18 00:00:00+00:00,1.629,1.1,NaN
1989-02-19 00:00:00+00:00,1.571,1.1,NaN
