Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1989-01-01 00:00:00+00:00,57.0,2.1,0.0
1989-01-02 00:00:00+00:00,56.0,2.08,0.0
1989-01-03 00:00:00+00:00,55.2,2.07,0.0
1989-01-04 00:00:00+00:00,55.0,2.06,0.0
1989-01-05 00:00:00+00:00,53.0,2.03,0.0
1989-01-06 00:00:00+00:00,50.0,1.98,0.0
1989-01-07 00:00:00+00:00,48.0,1.94,0.0
1989-01-08 00:00:00+00:00,47.0,1.92,0.0
1989-01-09 00:00:00+00:00,45.0,1.89,0.0
1989-01-10 00:00:00+00:00,42.0,1.83,0.0
1989-01-11 00:00:00+00:00,40.0,1.79,0.0
1989-01-12 00:00:00+00:00,38.1,1.76,0.0
1989-01-13 00:00:00+00:00,38.1,1.76,0.0
1989-01-14 00:00:00+00:00,40.1,1.8,0.0
1989-01-15 00:00:00+00:00,41.2,1.82,0.0
1989-01-16 00:00:00+00:00,40.1,1.8,0.0
1989-01-17 00:00:00+00:00,39.1,1.78,0.0
1989-01-18 00:00:00+00:00,38.0,1.75,0.0
1989-01-19 00:00:00+00:00,37.0,1.73,0.0
1989-01-20 00:00:00+00:00,36.1,1.72,0.0
1989-01-21 00:00:00+00:00,35.1,1.7,0.0
1989-01-22 00:00:00+00:00,35.0,1.69,0.0
1989-01-23 00:00:00+00:00,35.0,1.69,0.0
1989-01-24 00:00:00+00:00,36.1,1.72,0.0
1989-01-25 00:00:00+00:00,38.1,1.76,0.0
1989-01-26 00:00:00+00:00,41.0,1.81,0.0
1989-01-27 00:00:00+00:00,43.0,1.85,0.0
1989-01-28 00:00:00+00:00,45.0,1.89,0.0
1989-01-29 00:00:00+00:00,47.2,1.93,0.0
1989-01-30 00:00:00+00:00,49.0,1.96,0.0
1989-01-31 00:00:00+00:00,50.0,1.98,0.0
1989-02-01 00:00:00+00:00,50.0,1.98,0.0
1989-02-02 00:00:00+00:00,49.0,1.96,0.0
1989-02-03 00:00:00+00:00,47.2,1.93,0.0
1989-02-04 00:00:00+00:00,46.0,1.91,0.0
1989-02-05 00:00:00+00:00,44.4,1.88,0.0
1989-02-06 00:00:00+00:00,44.0,1.87,0.0
1989-02-07 00:00:00+00:00,42.3,1.84,0.0
1989-02-08 00:00:00+00:00,41.2,1.82,0.0
1989-02-09 00:00:00+00:00,40.0,1.79,0.0
1989-02-10 00:00:00+00:00,39.0,1.77,0.0
1989-02-11 00:00:00+00:00,39.0,1.77,0.0
1989-02-12 00:00:00+00:00,38.0,1.75,0.0
1989-02-13 00:00:00+00:00,37.1,1.74,0.0
1989-02-14 00:00:00+00:00,37.0,1.73,0.0
1989-02-15 00:00:00+00:00,36.1,1.72,0.0
1989-02-16 00:00:00+00:00,36.0,1.71,0.0
1989-02-17 00:00:00+00:00,36.0,1.71,0.0
1989-02-18 00:00:00+00:00,36.0,1.71,0.0
1989-02-19 00:00:00+00:00,35.1,1.7,0.0
1989-02-20 00:00:00+00:00,34.1,1.68,0.0
1989-02-21 00:00:00+00:00,33.2,1.66,0.0
1989-02-22 00:00:00+00:00,33.2,1.66,0.0
1989-02-23 00:00:00+00:00,32.2,1.64,0.0
1989-02-24 00:00:00+00:00,31.0,1.61,0.0
1989-02-25 00:00:00+00:00,29.4,1.58,0.0
1989-02-26 00:00:00+00:00,29.0,1.57,0.0
1989-02-27 00:00:00+00:00,29.4,1.58,0.0
1989-02-28 00:00:00+00:00,31.0,1.61,0.0
1989-03-01 00:00:00+00:00,32.0,1.63,0.0
1989-03-02 00:00:00+00:00,31.0,1.61,0.0
1989-03-03 00:00:00+00:00,31.0,1.61,0.0
1989-03-04 00:00:00+00:00,31.3,1.62,0.0
1989-03-05 00:00:00+00:00,31.0,1.61,1.2
1989-03-06 00:00:00+00:00,31.3,1.62,1.0
1989-03-07 00:00:00+00:00,35.1,1.7,0.0
1989-03-08 00:00:00+00:00,35.1,1.7,0.0
1989-03-09 00:00:00+00:00,34.0,1.67,0.0
1989-03-10 00:00:00+00:00,33.2,1.66,0.0
1989-03-11 00:00:00+00:00,35.1,1.7,0.0
1989-03-12 00:00:00+00:00,35.1,1.7,0.0
1989-03-13 00:00:00+00:00,35.0,1.69,0.0
1989-03-14 00:00:00+00:00,34.1,1.68,0.0
1989-03-15 00:00:00+00:00,35.1,1.7,0.0
1989-03-16 00:00:00+00:00,36.1,1.72,0.0
1989-03-17 00:00:00+00:00,36.0,1.71,0.0
1989-03-18 00:00:00+00:00,35.1,1.7,0.0
1989-03-19 00:00:00+00:00,34.0,1.67,0.0
1989-03-20 00:00:00+00:00,33.0,1.65,21.0
1989-03-21 00:00:00+00:00,33.0,1.65,21.0
1989-03-22 00:00:00+00:00,35.0,1.69,0.0
1989-03-23 00:00:00+00:00,39.0,1.77,0.0
1989-03-24 00:00:00+00:00,45.0,1.89,0.0
1989-03-25 00:00:00+00:00,53.0,2.03,0.0
1989-03-26 00:00:00+00:00,58.2,2.12,0.0
1989-03-27 00:00:00+00:00,61.0,2.16,0.0
1989-03-28 00:00:00+00:00,59.4,2.14,0.0
1989-03-29 00:00:00+00:00,56.0,2.08,0.0
1989-03-30 00:00:00+00:00,51.1,2.0,0.0
1989-03-31 00:00:00+00:00,47.2,1.93,7.4
1989-04-01 00:00:00+00:00,47.0,1.92,7.0
1989-04-02 00:00:00+00:00,47.0,1.92,1.0
1989-04-03 00:00:00+00:00,48.3,1.95,0.0
1989-04-04 00:00:00+00:00,56.4,2.09,0.0
1989-04-05 00:00:00+00:00,64.4,2.22,0.0
1989-04-06 00:00:00+00:00,68.2,2.28,0.0
1989-04-07 00:00:00+00:00,70.1,2.31,0.0
1989-04-08 00:00:00+00:00,68.2,2.28,0.0
1989-04-09 00:00:00+00:00,62.0,2.18,0.0
1989-04-10 00:00:00+00:00,55.2,2.07,1.5
1989-04-11 00:00:00+00:00,49.4,1.97,2.0
1989-04-12 00:00:00+00:00,46.0,1.91,0.0
1989-04-13 00:00:00+00:00,52.3,2.02,0.0
1989-04-14 00:00:00+00:00,63.1,2.2,0.0
1989-04-15 00:00:00+00:00,67.0,2.26,0.0
1989-04-16 00:00:00+00:00,63.1,2.2,0.0
1989-04-17 00:00:00+00:00,55.0,2.06,2.5
1989-04-18 00:00:00+00:00,47.0,1.92,3.0
1989-04-19 00:00:00+00:00,40.1,1.8,0.0
1989-04-20 00:00:00+00:00,37.1,1.74,0.0
1989-04-21 00:00:00+00:00,37.0,1.73,0.0
1989-04-22 00:00:00+00:00,36.1,1.72,0.0
1989-04-23 00:00:00+00:00,33.2,1.66,20.5
1989-04-24 00:00:00+00:00,29.0,1.56,21.0
1989-04-25 00:00:00+00:00,28.1,1.55,2.5
1989-04-26 00:00:00+00:00,28.0,1.54,3.0
1989-04-27 00:00:00+00:00,27.2,1.53,0.0
1989-04-28 00:00:00+00:00,27.2,1.53,0.0
1989-04-29 00:00:00+00:00,27.2,1.53,0.0
1989-04-30 00:00:00+00:00,27.2,1.53,2.0
1989-05-01 00:00:00+00:00,30.3,1.6,2.0
1989-05-02 00:00:00+00:00,35.1,1.7,15.0
1989-05-03 00:00:00+00:00,40.0,1.79,0.0
1989-05-04 00:00:00+00:00,44.4,1.88,0.0
1989-05-05 00:00:00+00:00,51.1,2.0,0.0
1989-05-06 00:00:00+00:00,60.0,2.15,4.2
1989-05-07 00:00:00+00:00,70.0,2.3,4.0
1989-05-08 00:00:00+00:00,73.4,2.36,0.0
1989-05-09 00:00:00+00:00,73.0,2.35,0.0
1989-05-10 00:00:00+00:00,66.3,2.25,0.0
1989-05-11 00:00:00+00:00,57.0,2.1,34.0
1989-05-12 00:00:00+00:00,54.0,2.05,34.0
1989-05-13 00:00:00+00:00,58.0,2.11,34.5
1989-05-14 00:00:00+00:00,57.0,2.1,35.0
1989-05-15 00:00:00+00:00,56.4,2.09,3.0
1989-05-16 00:00:00+00:00,59.0,2.13,12.0
1989-05-17 00:00:00+00:00,63.0,2.19,1.5
1989-05-18 00:00:00+00:00,65.0,2.23,2.4
1989-05-19 00:00:00+00:00,66.3,2.25,2.0
1989-05-20 00:00:00+00:00,66.3,2.25,0.0
1989-05-21 00:00:00+00:00,65.0,2.23,0.0
1989-05-22 00:00:00+00:00,65.0,2.23,0.0
1989-05-23 00:00:00+00:00,63.1,2.2,2.6
1989-05-24 00:00:00+00:00,61.2,2.17,4.5
1989-05-25 00:00:00+00:00,60.0,2.15,58.2
1989-05-26 00:00:00+00:00,64.0,2.21,64.5
1989-05-27 00:00:00+00:00,71.0,2.32,65.0
1989-05-28 00:00:00+00:00,81.0,2.47,0.0
1989-05-29 00:00:00+00:00,93.0,2.64,0.0
1989-05-30 00:00:00+00:00,111.0,2.87,0.0
1989-05-31 00:00:00+00:00,117.0,2.95,0.0
1989-06-01 00:00:00+00:00,111.0,2.88,1.6
1989-06-02 00:00:00+00:00,99.0,2.72,2.0
1989-06-03 00:00:00+00:00,87.2,2.56,0.0
1989-06-04 00:00:00+00:00,79.0,2.44,23.2
