Timestamp,Discharge.Daily,Water.Level,Rainfall.Manual
1960-01-01 00:00:00+00:00,2480.0,1.81,0.0
1960-01-02 00:00:00+00:00,2440.0,1.79,0.0
1960-01-03 00:00:00+00:00,2410.0,1.77,0.0
1960-01-04 00:00:00+00:00,2440.0,1.79,0.0
1960-01-05 00:00:00+00:00,2540.0,1.85,0.0
1960-01-06 00:00:00+00:00,2650.0,1.92,0.0
1960-01-07 00:00:00+00:00,2750.0,1.98,0.0
1960-01-08 00:00:00+00:00,2750.0,1.98,0.0
1960-01-09 00:00:00+00:00,2700.0,1.95,0.0
1960-01-10 00:00:00+00:00,2670.0,1.93,0.0
1960-01-11 00:00:00+00:00,2440.0,1.79,0.0
1960-01-12 00:00:00+00:00,2330.0,1.72,0.0
1960-01-13 00:00:00+00:00,2270.0,1.68,0.0
1960-01-14 00:00:00+00:00,2210.0,1.64,0.0
1960-01-15 00:00:00+00:00,2170.0,1.61,0.0
1960-01-16 00:00:00+00:00,2150.0,1.6,0.0
1960-01-17 00:00:00+00:00,2130.0,1.59,0.0
1960-01-18 00:00:00+00:00,2100.0,1.57,0.0
1960-01-19 00:00:00+00:00,2090.0,1.56,0.0
1960-01-20 00:00:00+00:00,2040.0,1.53,0.0
1960-01-21 00:00:00+00:00,2020.0,1.52,0.0
1960-01-22 00:00:00+00:00,1980.0,1.49,0.0
1960-01-23 00:00:00+00:00,1950.0,1.47,0.0
1960-01-24 00:00:00+00:00,1930.0,1.46,0.0
1960-01-25 00:00:00+00:00,1900.0,1.44,0.0
1960-01-26 00:00:00+00:00,1860.0,1.41,0.0
1960-01-27 00:00:00+00:00,1830.0,1.39,0.0
1960-01-28 00:00:00+00:00,1800.0,1.37,0.0
1960-01-29 00:00:00+00:00,1780.0,1.36,0.0
1960-01-30 00:00:00+00:00,1770.0,1.35,0.0
1960-01-31 00:00:00+00:00,1770.0,1.35,0.0
1960-02-01 00:00:00+00:00,1750.0,1.34,0.0
1960-02-02 00:00:00+00:00,1720.0,1.32,0.0
1960-02-03 00:00:00+00:00,1720.0,1.32,0.0
1960-02-04 00:00:00+00:00,1750.0,1.34,0.0
1960-02-05 00:00:00+00:00,1780.0,1.36,0.0
1960-02-06 00:00:00+00:00,1870.0,1.42,0.0
1960-02-07 00:00:00+00:00,1990.0,1.5,0.0
1960-02-08 00:00:00+00:00,2130.0,1.59,0.0
1960-02-09 00:00:00+00:00,2270.0,1.68,0.0
1960-02-10 00:00:00+00:00,2330.0,1.72,0.0
1960-02-11 00:00:00+00:00,2260.0,1.67,0.0
1960-02-12 00:00:00+00:00,2180.0,1.62,0.0
1960-02-13 00:00:00+00:00,2010.0,1.51,0.0
1960-02-14 00:00:00+00:00,1890.0,1.43,0.0
1960-02-15 00:00:00+00:00,1810.0,1.38,0.0
1960-02-16 00:00:00+00:00,1750.0,1.34,0.0
